trip_id,route_id,stop_id,scheduled_seconds,observed_seconds,delay_seconds,timestamp
72188304,32,6034,,80940,0,1766528940
72188304,32,6035,,81000,0,1766529000
72188304,32,7398,,81060,0,1766529060
72188304,32,7399,,81120,0,1766529120
72188304,32,6036,,81180,0,1766529180
72188304,32,7355,,81240,0,1766529240
72188304,32,7356,,81300,0,1766529300
72188304,32,6070,,81360,0,1766529360
72188304,32,6037,,81420,0,1766529420
72188304,32,7357,,81420,0,1766529420
72188304,32,7723,,81480,0,1766529480
72188304,32,2276,,81540,0,1766529540
72188304,32,2277,,81720,0,1766529720
72188304,32,2278,,81780,0,1766529780
72188304,32,2279,,81840,0,1766529840
72188304,32,9068,,81960,0,1766529960
72188304,32,9069,,81960,0,1766529960
72188304,32,2416,,82020,0,1766530020
72188304,32,9071,,82020,0,1766530020
72188304,32,7361,,,0,
72188319,32,6879,,79380,0,1766527380
72188319,32,6680,,79620,0,1766527620
72188319,32,7539,,79620,0,1766527620
72188319,32,7335,,79620,0,1766527620
72188319,32,9266,,79680,0,1766527680
72188319,32,2417,,79740,0,1766527740
72188319,32,9073,,79800,0,1766527800
72188319,32,9074,,79800,0,1766527800
72188319,32,2280,,79920,0,1766527920
72188319,32,2281,,79980,0,1766527980
72188319,32,2282,,80040,0,1766528040
72188319,32,7724,,80220,0,1766528220
72188319,32,8255,,80280,0,1766528280
72188319,32,6011,,80340,0,1766528340
72188319,32,6012,,80400,0,1766528400
72188319,32,7341,,80460,0,1766528460
72188319,32,7342,,80460,0,1766528460
72188319,32,7343,,80520,0,1766528520
72188319,32,6013,,80580,0,1766528580
72188319,32,7388,,80640,0,1766528640
72188319,32,7389,,80760,0,1766528760
72188319,32,6014,,80760,0,1766528760
72188319,32,6015,,80820,0,1766528820
72188319,32,6016,,80880,0,1766528880
72188319,32,7512,,80940,0,1766528940
72188319,32,7513,,81000,0,1766529000
72188319,32,7514,,81060,0,1766529060
72188319,32,6017,,81120,0,1766529120
72188319,32,5724,,81180,0,1766529180
72188319,32,7523,,81180,0,1766529180
72188319,32,7517,,81240,0,1766529240
72188319,32,7566,,81300,0,1766529300
72188319,32,6749,,81360,0,1766529360
72188319,32,7567,,81420,0,1766529420
72188319,32,7568,,81480,0,1766529480
72188319,32,7392,,81480,0,1766529480
72188319,32,7393,,81540,0,1766529540
72188319,32,6777,,81600,0,1766529600
72188319,32,7570,,81660,0,1766529660
72188334,46,5579,,86399,0,-1
72188334,46,5806,,81540,0,1766529540
72188334,46,5807,,81960,0,1766529960
72188334,46,6202,,81960,0,1766529960
72188334,46,7364,,82020,0,1766530020
72188334,46,7365,,,0,
72188340,32,7575,,79380,0,1766527380
72188340,32,7576,,79380,0,1766527380
72188340,32,7518,,79500,0,1766527500
72188340,32,7519,,79560,0,1766527560
72188340,32,6032,,79560,0,1766527560
72188340,32,7520,,79620,0,1766527620
72188340,32,7521,,79620,0,1766527620
72188340,32,7522,,79680,0,1766527680
72188340,32,6033,,79740,0,1766527740
72188340,32,7527,,79800,0,1766527800
72188340,32,6034,,79800,0,1766527800
72188340,32,6035,,79860,0,1766527860
72188340,32,7398,,79920,0,1766527920
72188340,32,7399,,79980,0,1766527980
72188340,32,6036,,80040,0,1766528040
72188340,32,7355,,80100,0,1766528100
72188340,32,7356,,80160,0,1766528160
72188340,32,6070,,80220,0,1766528220
72188340,32,6037,,80280,0,1766528280
72188340,32,7357,,80280,0,1766528280
72188340,32,7723,,80340,0,1766528340
72188340,32,2276,,80400,0,1766528400
72188340,32,2277,,80580,0,1766528580
72188340,32,2278,,80640,0,1766528640
72188340,32,2279,,80700,0,1766528700
72188340,32,9068,,80820,0,1766528820
72188340,32,9069,,80820,0,1766528820
72188340,32,2416,,80880,0,1766528880
72188340,32,9071,,80880,0,1766528880
72188340,32,7361,,80940,0,1766528940
72188340,32,7362,,80940,0,1766528940
72188340,32,7542,,81000,0,1766529000
72188340,32,6682,,81060,0,1766529060
72188340,32,6880,,81180,0,1766529180
72188340,32,6039,,81180,0,1766529180
72188340,32,5156,,81240,0,1766529240
72188340,32,7535,,81300,0,1766529300
72188340,32,7536,,81360,0,1766529360
72188340,32,7537,,81420,0,1766529420
72188340,32,5157,,81480,0,1766529480
72188340,32,5579,,81540,0,1766529540
72188393,40,8298,,79380,0,1766527380
72188393,40,7223,,79440,0,1766527440
72188393,40,6767,,79500,0,1766527500
72188393,40,5973,,79500,0,1766527500
72188393,40,6603,,79560,0,1766527560
72188393,40,8006,,79560,0,1766527560
72188393,40,6737,,79740,0,1766527740
72188393,40,6738,,79800,0,1766527800
72188393,40,7692,,79860,0,1766527860
72188393,40,6875,,79980,0,1766527980
72188393,40,6739,,80220,0,1766528220
72188393,40,6996,,80220,0,1766528220
72188393,40,6317,,80280,0,1766528280
